DATE,OPEN,HIGH,LOW,CLOSE
09/02/2010,49.2,50.73,49.2,50.04
09/03/2010,50.18,51.11,50.18,51.11
09/06/2010,51.57,51.94,51.57,51.85
09/07/2010,52.03,52.22,50.64,52.13
09/08/2010,51.11,53.8,51.11,53.8
09/09/2010,53.8,55.75,52.82,55.75
9/13/2010,55.8,56.5,55.8,56.5
9/14/2010,56.59,56.63,55.19,56.63
9/15/2010,56.63,56.63,56.17,56.22
9/16/2010,56.17,56.17,55.75,55.75
9/17/2010,55.84,55.98,55.38,55.57
9/20/2010,55.29,55.84,54.82,55.84
9/21/2010,55.29,56.77,54.82,56.68
9/22/2010,56.68,56.68,56.31,56.36
9/23/2010,56.45,56.5,55.66,56.12
9/24/2010,56.12,56.12,55.61,55.75
9/27/2010,58.54,58.54,55.89,55.94
9/28/2010,55.94,56.22,55.75,56.22
9/29/2010,56.22,56.22,55.8,56.12
9/30/2010,56.08,56.08,55.66,56.03
10/01/2010,56.22,56.22,55.66,55.8
10/04/2010,56.68,56.68,56.03,56.31
10/05/2010,56.26,56.4,56.22,56.22
10/06/2010,56.31,56.45,56.22,56.26
10/07/2010,56.31,56.4,56.17,56.22
10/08/2010,56.26,56.26,55.47,55.71
10/11/2010,55.71,55.75,55.57,55.71
10/12/2010,55.71,55.75,55.52,55.52
10/13/2010,55.57,55.61,55.19,55.57
10/14/2010,55.57,55.84,55.57,55.8
10/15/2010,55.84,55.84,55.66,55.75
10/18/2010,55.75,55.75,55.66,55.75
10/19/2010,55.75,55.75,55.61,55.71
10/20/2010,55.71,55.75,55.38,55.71
10/21/2010,55.71,55.75,55.71,55.75
10/22/2010,55.75,55.84,55.71,55.75
10/26/2010,55.75,56.22,55.75,55.75
10/27/2010,55.75,57.15,55.75,56.63
10/28/2010,56.68,56.68,56.4,56.45
10/29/2010,56.68,56.87,56.45,56.68
11/02/2010,56.68,58.45,56.68,58.12
11/03/2010,58.21,59.42,58.21,58.91
11/04/2010,59,59,57.94,58.07
11/05/2010,58.91,59,58.35,58.35
11/08/2010,58.35,58.35,56.68,56.68
11/09/2010,56.68,56.87,56.22,56.87
11/10/2010,56.77,56.77,54.82,55.33
11/11/2010,55.33,55.33,53.43,54.27
11/12/2010,53.8,53.89,51.11,52.41
11/15/2010,52.96,53.89,52.59,53.71
11/17/2010,53.52,53.52,52.96,53.52
11/18/2010,53.71,53.75,52.41,52.5
11/19/2010,53.52,54.36,52.69,52.78
11/22/2010,52.82,53.15,52.82,52.87
11/23/2010,52.96,52.96,51.2,51.2
